Category,Duration (hrs),Price,Max Students,Sessions/Year,Year 1 Enroll %,Year 2,Year 3,Year 4,Year 5,Notes
Adults - Painting,2.0,$199,15,12,85%,94%,100%,100%,100%,2hr session
Adults - Pottery,2.5,$229,6,12,85%,94%,100%,100%,100%,2.5hr session
Teens 13-18 - Drawing,2.0,$199,15,12,85%,94%,100%,100%,100%,2hr session
Teens 13-18 - Pottery,2.0,$229,6,12,85%,94%,100%,100%,100%,2hr session
Kids 9-12 - Mixed Media,1.5,$159,15,12,85%,94%,100%,100%,100%,1.5hr session
Kids 9-12 - Pottery,1.5,$179,6,12,85%,94%,100%,100%,100%,1.5hr session
Kids 6-8 - General Art,1.5,$154,15,12,85%,94%,100%,100%,100%,1.5hr session
Kids 4-5 - General Art,1.5,$154,15,12,85%,94%,100%,100%,100%,1.5hr session
Homeschool 6-12,1.5,$154,30,12,50%,60%,70%,85%,100%,1.5hr session
Homeschool Teens,1.5,$154,30,12,50%,60%,70%,85%,100%,1.5hr session
